When reading a file into MATLAB, Skipping header rows is easier than
Specifying the data range and therefore, All supplementary text is at the top

The row above the numeric data, Makes it easier to use readtable()

SRC,"M. N. Sasi (1994) ""A reference atmosphere for the Indian equatorial zone"", Indian Journal of Radio & Space Physics, 23, pp. 299-312 (http://nopr.niscair.res.in/bitstream/123456789/35904/1/IJRSP%2023%285%29%20299-312.pdf)"
Archived,"https://archive.org/details/sasi-1994-a-ref-atm-for-indian-ez-ijrsp-23"

Geographic altitude above sea level (km),Temperature (K)
hG_km,T_K
0,303.53
1,294.93
2,288.76
3,283.97
4,278.36
5,272.88
6,267.15
7,261.38
8,255.02
9,248.12
10,240.42
11,232.47
12,224.08
13,215.91
14,207.78
15,200.78
16,195.78
17,193.72
18,197
19,201.61
20,206.35
21,209.97
22,212.62
23,215.75
24,218.63
25,221.35
26,223.84
27,226.1
28,228.18
29,230.38
30,232.82
31,234.79
32,236.34
33,238.31
34,240.8
35,243.29
36,245.77
37,248.36
38,251.06
39,253.71
40,256.4
41,258.7
42,260.62
43,262.36
44,263.58
45,264.23
46,264.64
47,264.58
48,264.57
49,263.92
50,263.76
51,262.04
52,260.03
53,257.86
54,255.41
55,252.67
56,250.13
57,247.5
58,244.4
59,241.2
60,237.93
61,234.58
62,231.17
63,227.74
64,224.35
65,221.05
66,217.65
67,214.15
68,210.69
69,207.45
70,203.98
71,200.89
72,198.43
73,195.91
74,193.25
75,190.63
76,189.46
77,188.86
78,186.09
79,183.09
80,183.16
